Abstract,Methods,Results,Discussion,Abstract+Methods,Abstract+Results,Abstract+Discussion,Methods+Results,Methods+Discussion,Results+Discussion,Abstract+Methods+Results,Abstract+Methods+Discussion,Abstract+Results+Discussion,Methods+Results+Discussion,Full Text
0.8493150684931506,0.8165680473372781,0.8004778972520908,0.8014354066985646,0.8477272727272728,0.854875283446712,0.8471910112359551,0.8186046511627907,0.8190255220417634,0.8126463700234192,0.8478015783540023,0.8458049886621315,0.8382022471910112,0.8098591549295775,0.8552338530066815
0.8279181708784596,0.7945879458794588,0.759493670886076,0.7934508816120907,0.8208778173190985,0.8317535545023697,0.8313817330210773,0.8101571946795647,0.7913148371531966,0.7897934386391251,0.8313817330210773,0.8228438228438228,0.8246445497630331,0.7966305655836342,0.8229777256740914
0.8185053380782918,0.7792848335388409,0.7711442786069652,0.7975609756097561,0.8231132075471698,0.8264462809917356,0.8200934579439252,0.7854545454545454,0.7908653846153846,0.7865707434052758,0.8161328588374852,0.8315911730545877,0.8244994110718492,0.7845968712394705,0.8308400460299195
0.8219512195121951,0.7737789203084833,0.7407407407407407,0.7803617571059431,0.8087167070217918,0.817625458996328,0.8205741626794258,0.7745222929936306,0.7763819095477387,0.7828282828282829,0.8,0.8106796116504854,0.8178528347406514,0.7880299251870324,0.8257756563245824
0.8414779499404053,0.8119551681195517,0.7985074626865671,0.8029739776951673,0.8486293206197855,0.8534278959810875,0.8544600938967136,0.833939393939394,0.8145454545454546,0.8188405797101449,0.8564650059311981,0.852112676056338,0.8466981132075472,0.8216867469879519,0.8597914252607184
0.8137254901960784,0.8020050125313283,0.7796178343949045,0.8113440197287299,0.827503015681544,0.8198307134220073,0.8370986920332937,0.8079306071871127,0.8175182481751825,0.8024691358024691,0.8317307692307693,0.8374851720047449,0.821256038647343,0.8,0.8347205707491082
0.8160779537149817,0.7955390334572491,0.7557251908396947,0.7793190416141236,0.8144578313253013,0.8229665071770335,0.8204518430439952,0.8038976857490865,0.80440097799511,0.7812113720642769,0.8157894736842105,0.8352941176470589,0.8176400476758046,0.7877300613496933,0.8428405122235157
0.8133174791914387,0.8004926108374384,0.7680798004987531,0.7896039603960396,0.8137603795966786,0.8221436984687868,0.8263888888888888,0.8077858880778589,0.8067226890756303,0.7942238267148014,0.817432273262662,0.831981460023175,0.8159437280187574,0.8072289156626506,0.8348837209302326
0.8291517323775388,0.7916666666666666,0.7766749379652605,0.7945544554455446,0.8356807511737089,0.8343125734430082,0.8341121495327103,0.7980652962515115,0.8,0.7990314769975787,0.8378063010501751,0.8366164542294322,0.8315911730545877,0.7913148371531966,0.8344988344988346
0.8077858880778589,0.7915632754342432,0.756687898089172,0.7737041719342604,0.8200238379022646,0.8130277442702051,0.8297872340425532,0.7882496940024479,0.8019441069258809,0.7671232876712328,0.8138424821002387,0.8229777256740914,0.8157894736842105,0.7784577723378213,0.8306264501160093
0.8199052132701422,0.8038507821901324,0.7515605493133583,0.7852760736196319,0.8302325581395349,0.8235294117647058,0.8346820809248555,0.7961630695443646,0.8061104582843713,0.7870036101083032,0.8156028368794326,0.8293241695303551,0.8263888888888888,0.7885304659498208,0.8297142857142857
0.8285024154589372,0.7794486215538847,0.7582697201017812,0.7817258883248731,0.8195937873357229,0.8284023668639053,0.836662749706228,0.7680798004987531,0.7926380368098159,0.7764127764127764,0.8315665488810365,0.8233918128654971,0.8222748815165877,0.7596513075965131,0.8440366972477065
0.8102189781021898,0.7801778907242694,0.7626459143968871,0.785982478097622,0.8165249088699879,0.8274173806609547,0.8263473053892215,0.7909887359198998,0.7911547911547911,0.7872078720787208,0.8140947752126367,0.8130277442702051,0.8134777376654633,0.7931034482758621,0.8201438848920863
0.8319623971797885,0.805352798053528,0.7747524752475248,0.7995110024449877,0.8389339513325609,0.8422273781902552,0.836027713625866,0.8139255702280912,0.8194774346793349,0.8085106382978723,0.8378063010501751,0.843069873997709,0.8314087759815243,0.8124253285543608,0.849942726231386
