Abstract,Methods,Results,Discussion,Abstract+Methods,Abstract+Results,Abstract+Discussion,Methods+Results,Methods+Discussion,Results+Discussion,Abstract+Methods+Results,Abstract+Methods+Discussion,Abstract+Results+Discussion,Methods+Results+Discussion,Full Text
0.30249447426586673,0.3026460859977949,0.36739380022962115,0.36883780332056193,0.39990002499375155,0.43360905528950805,0.40139442231075695,0.4395648670427075,0.4276109367996414,0.40667094291212313,0.4530082579630358,0.4452204277608031,0.43956043956043955,0.44315992292870904,0.4769585253456221
0.3176043557168784,0.2737382378100941,0.4137775776677172,0.38852097130242824,0.381000762001524,0.4786288616165891,0.43572267920094004,0.4532955923978973,0.4318488529014845,0.46476510067114096,0.4786490683229814,0.43945607597668895,0.48863636363636365,0.47038191738113794,0.4875356803044719
0.2736644798500469,0.2798559157661402,0.40301819795827787,0.3619584721866188,0.3682112605879422,0.43373493975903615,0.3897889052528228,0.4399369830641985,0.42706699529464487,0.4438860971524288,0.4379310344827586,0.42322749021313616,0.44354348266774785,0.45144257967188384,0.44926442851754056
0.3214930764599639,0.28455941794664513,0.4206008583690987,0.37681159420289856,0.41234084231145934,0.4760878931495045,0.42739079102715466,0.4692982456140351,0.4261213720316623,0.460667086217747,0.47449078564500485,0.4370748299319728,0.4820554649265905,0.46253328261696464,0.49809596344249807
0.2964099416999079,0.3146314631463146,0.37556766575840145,0.33615601744932,0.39320866141732286,0.4373799871986345,0.38130021913805695,0.4414648789273564,0.42341332137250504,0.3983945923109421,0.4505622334238077,0.4337611485751577,0.4367722165474974,0.43828230310032734,0.4513692162417375
0.3120048750761731,0.30764920145699076,0.40054495912806537,0.3471204188481675,0.39414246711342765,0.4522526406553136,0.3934022648941408,0.44590818363273454,0.4246823956442831,0.4194708994708995,0.4704728271532274,0.43841610150951654,0.4506287363430221,0.4649004061110037,0.48660030627871365
0.2781136638452237,0.30471204188481676,0.3833150384193194,0.3534018600097895,0.38367154318074564,0.42674491720813246,0.3809748057452319,0.442193770303841,0.4252577319587629,0.4063388866314506,0.45908331786973466,0.4336099585062241,0.4425770308123249,0.44092165898617514,0.4658545588778147
0.3070320237702212,0.29794826048171275,0.38256658595641646,0.3676195565054769,0.3894319682959049,0.44291609353507566,0.39948387096774196,0.4263894781501909,0.42836946277097077,0.41420911528150134,0.45012366034624895,0.42679339217017426,0.44833625218914186,0.43469303667078696,0.4711401182949215
0.25868842550619525,0.2870514820592824,0.41744413104794964,0.35641598411516506,0.3615549725733365,0.45868465430016864,0.3778409090909091,0.46023818670764505,0.4150283966797728,0.4440769071738681,0.4708994708994709,0.42085187539732993,0.4554255748285599,0.44584336234030736,0.47309833024118736
0.28053733208372383,0.3064516129032258,0.36329762459245457,0.36121770273727294,0.37061183550651955,0.4124582869855395,0.38493723849372385,0.4364527993461381,0.43032228778937814,0.40971766250820746,0.4297619047619048,0.4174523130892348,0.431660718034852,0.4262358894511483,0.4465457352373601
