Abstract,Methods,Results,Discussion,Abstract+Methods,Abstract+Results,Abstract+Discussion,Methods+Results,Methods+Discussion,Results+Discussion,Abstract+Methods+Results,Abstract+Methods+Discussion,Abstract+Results+Discussion,Methods+Results+Discussion,Full Text
0.9632107023411371,0.9490662139219015,0.9244135534317984,0.9159369527145359,0.9836065573770492,0.9793899422918384,0.9844389844389845,0.9622799664710813,0.9535080304311073,0.9445865302642796,0.9835796387520526,0.9894050529747351,0.9852700490998363,0.9596638655462185,0.9877551020408163
0.9733777038269551,0.9505962521294719,0.9285714285714286,0.9203849518810149,0.9868421052631579,0.9843104872006606,0.9852700490998363,0.9639564124057,0.9604043807919124,0.9515717926932881,0.9834710743801653,0.9876746096959738,0.9836065573770492,0.9639564124057,0.9827444535743632
0.957983193277311,0.9452991452991453,0.9316017316017317,0.9170305676855895,0.986863711001642,0.9750830564784053,0.9802631578947368,0.9656328583403185,0.9527027027027027,0.9401709401709402,0.9843621399176955,0.9843621399176955,0.9794238683127572,0.9577702702702703,0.9835255354200988
0.9655751469353484,0.9407725321888412,0.925893635571055,0.9248251748251748,0.9835526315789473,0.9826589595375722,0.9826589595375722,0.9629629629629629,0.9593908629441624,0.9522998296422487,0.9860082304526749,0.9893704006541292,0.9901639344262295,0.962089300758214,0.9885433715220949
0.9622799664710813,0.9436860068259386,0.9187772925764193,0.9157894736842105,0.9894050529747351,0.9835796387520526,0.9844134536505332,0.9614093959731543,0.9534292972057579,0.9489795918367347,0.9869067103109657,0.9894050529747351,0.988562091503268,0.9579124579124579,0.9852700490998363
0.9622166246851386,0.9490662139219015,0.9307958477508651,0.9324090121317158,0.9802955665024631,0.9835526315789473,0.9860541427399507,0.9674185463659147,0.9673093042749371,0.9612141652613828,0.9877149877149877,0.9844644317252658,0.9877149877149877,0.969140950792327,0.983633387888707
0.9691923397169026,0.954468802698145,0.9262792714657415,0.9270833333333334,0.9894222945484134,0.9852459016393442,0.988562091503268,0.9657477025898078,0.9639564124057,0.9534292972057579,0.9869067103109657,0.988599348534202,0.9926769731489016,0.9622799664710813,0.9894222945484134
0.9622799664710813,0.9543147208121827,0.9336778639104221,0.9343696027633851,0.9852700490998363,0.9785478547854786,0.9869281045751634,0.9726594863297432,0.9656328583403185,0.9612794612794613,0.9852459016393442,0.9869281045751634,0.9877551020408163,0.9606035205364627,0.9877750611246944
0.9667774086378738,0.9472789115646258,0.9238754325259516,0.9225413402959095,0.9836601307189542,0.9735973597359736,0.9828291087489779,0.9589958158995816,0.9526226734348562,0.9463829787234043,0.9811629811629812,0.9828291087489779,0.9853181076672104,0.9572506286672254,0.9828291087489779
0.9579124579124579,0.957983193277311,0.9299913569576491,0.9205240174672489,0.9861224489795918,0.9802306425041186,0.9827444535743632,0.9751655629139073,0.9665551839464883,0.9534292972057579,0.988562091503268,0.9861224489795918,0.9902120717781403,0.9717607973421927,0.9852941176470589
0.9570345408593092,0.9612794612794613,0.9334485738980121,0.9317199654278306,0.9860541427399507,0.9810074318744839,0.9852459016393442,0.9742310889443059,0.969140950792327,0.9622166246851386,0.9860312243221035,0.9918433931484503,0.9902120717781403,0.9673640167364017,0.993485342019544
0.9500423370025403,0.9472789115646258,0.9280138768430182,0.9084507042253521,0.9844134536505332,0.972568578553616,0.9794576828266228,0.95878889823381,0.9482612383375743,0.9446808510638298,0.9776674937965261,0.9819078947368421,0.9794576828266228,0.9552742616033755,0.9860997547015535
0.9632107023411371,0.9623430962343096,0.9399656946826758,0.9283865401207938,0.9893877551020408,0.9843878389482333,0.9844644317252658,0.9743164871582436,0.9692946058091286,0.9641367806505421,0.9885433715220949,0.9902120717781403,0.9877750611246944,0.9726141078838174,0.9877551020408163
0.9735537190082645,0.9535080304311073,0.9381443298969072,0.9293103448275862,0.9869067103109657,0.9885433715220949,0.9844644317252658,0.9639564124057,0.9580536912751678,0.9580536912751678,0.9852216748768473,0.988562091503268,0.9869494290375204,0.9665551839464883,0.9877350776778414
0.9666666666666667,0.9453924914675768,0.9208006962576153,0.9242819843342036,0.9885807504078303,0.981101068200493,0.9860997547015535,0.9614740368509213,0.9595959595959596,0.9489795918367347,0.9877551020408163,0.9894050529747351,0.990228013029316,0.9623430962343096,0.990228013029316
0.9725228975853455,0.9460154241645244,0.9132743362831859,0.9089301503094607,0.9884868421052632,0.9834437086092715,0.9819078947368421,0.9514893617021276,0.9497872340425532,0.9407725321888412,0.985962014863749,0.9884868421052632,0.9852459016393442,0.9488054607508533,0.9851973684210527
0.9554247266610597,0.949238578680203,0.927461139896373,0.9170305676855895,0.9853181076672104,0.9777777777777777,0.9769357495881383,0.9597989949748744,0.9562289562289562,0.9509306260575296,0.9819672131147541,0.9836601307189542,0.9828009828009828,0.9563025210084034,0.9853181076672104
0.9612141652613828,0.9638958858102435,0.9403630077787382,0.9317199654278306,0.9859851607584501,0.9817275747508306,0.9810699588477366,0.9750415973377704,0.9674185463659147,0.9665551839464883,0.9876135425268373,0.9868204283360791,0.9860769860769861,0.9733333333333334,0.9852216748768473
0.9535864978902954,0.9595278246205734,0.9417808219178082,0.9261511728931364,0.9869067103109657,0.9843878389482333,0.9785831960461285,0.9717138103161398,0.9639564124057,0.9587194608256108,0.9885433715220949,0.9860769860769861,0.9869281045751634,0.9665551839464883,0.988562091503268
0.9638958858102435,0.9527027027027027,0.9288194444444444,0.9186351706036745,0.9835796387520526,0.9810074318744839,0.9768595041322314,0.9614093959731543,0.9525423728813559,0.9516539440203562,0.9843621399176955,0.9852459016393442,0.9819078947368421,0.9561551433389545,0.9828009828009828
