model,condition,wmt_f1,p_value,sig_symbol
GPT-4,No LUT,0.48455730954015097,,
GPT-4,With LUT,0.49358059914407987,0.440,
GPT-5,No LUT,0.4670590468957661,,
GPT-5,With LUT,0.6823942288945214,<0.002,***
