field,label_space,cardinality,entropy,answer_len,complexity,f1_GPT4,f1_GPT5
Does it use DTI?,2,1.0,0.09921733756261193,2.987138263665595,0.0005493288377420984,0.982,0.986
Human_vs_non_human_study,2,1.0,0.28571361764360115,2.95016077170418,0.01000327921155262,0.997,0.994
Review or single study?,2,1.0,0.34431647211112393,11.614147909967846,0.03341747140118904,0.972,0.979
Does it study dementia or related diseases?,2,1.0,0.8048453220571503,2.7540192926045015,0.03609968403764558,0.805,0.84
Which diseases are studied,71,1.3881856540084387,3.4259810678689133,29.379746835443036,0.4620687280363629,0.585,0.57
WM tracts studied,86,5.08207343412527,4.985880498926388,108.84665226781857,1.0,0.485,0.467
